E1,E2,E3
2696.1294,0.0,0.0
161.46944,0.0,392.2357
282.15125,0.0,610.3748
53.695583,0.0,0.0
19.139963,0.0,74.13378
13.537252,0.0,54.45022
1.7242689,0.0,0.0
39.82675,0.0,0.0
1.603993,0.0,0.0
96.25909,0.0,0.0
88.47833,0.0,241.42114
631.4924,0.0,0.0
286.60193,0.0,617.8991
17.622377,0.0,0.0
1158.0039,0.0,0.0
0.0,0.0,0.0
293.5035,0.0,0.0
24.635906,0.0,88.67768
85.20963,0.0,234.76318
308.26227,0.0,650.6283
0.0,0.0,0.0
953.9677,0.0,0.0
43.49043,0.0,0.0
146.24272,0.0,0.0
4607.52,0.0,0.0
28.731895,0.0,0.0
1.33426,0.0,0.0
28.830385,0.0,0.0
295.8723,0.0,0.0
8.287794,0.0,0.0
42.94898,0.0,0.0
1.4225869,0.0,0.0
3.345506,0.0,0.0
748.03577,0.0,0.0
0.3029784,0.0,0.0
40.50311,0.0,0.0
1.5029474,0.0,0.0
26.100815,0.0,0.0
6.430375,0.0,35.90927
25.11546,0.0,0.0
5.5411253,0.0,0.0
259.41647,0.0,0.0
1.2782559,0.0,0.0
334.8017,0.0,0.0
689.5302,0.0,0.0
56.79578,0.0,0.0
20.131376,0.0,0.0
34.634014,0.0,0.0
219.96048,0.0,0.0
2.6459293,0.0,0.0
477.69745,0.0,0.0
377.10803,0.0,0.0
18.967957,0.0,0.0
0.5811763,0.0,0.0
566.1504,0.0,0.0
10.394426,0.0,46.50559
0.0,0.0,0.0
37.252228,0.0,118.60911
0.0,0.0,0.0
399.43997,0.0,0.0
89.68696,0.0,0.0
25.858807,0.0,0.0
75.82435,0.0,0.0
560.07996,0.0,0.0
0.70173585,0.0,0.0
74.82526,0.0,0.0
83.808815,0.0,0.0
2.2409813,0.0,0.0
0.58569074,0.0,15.85244
103.16999,0.0,276.31073
86.859985,0.0,236.70074
0.0,0.0,0.0
144.44733,0.0,0.0
69.12797,0.0,0.0
1029.7141,0.0,0.0
0.9542532,0.0,0.0
233.82506,0.0,0.0
11.421349,0.0,48.700497
243.46286,0.0,0.0
13.967842,0.0,0.0
451.89163,0.0,0.0
10.778929,0.0,0.0
904.20044,0.0,1568.2694
231.87007,0.0,0.0
187.6273,0.0,0.0
205.0149,0.0,477.8579
14.995558,0.0,60.976513
124.12966,0.0,0.0
93.1006,0.0,0.0
